game,state
SonicAndKnuckles3-Genesis,LavaReefZone.Act2
SonicAndKnuckles3-Genesis,CarnivalNightZone.Act2
SonicAndKnuckles3-Genesis,CarnivalNightZone.Act1
SonicAndKnuckles3-Genesis,MarbleGardenZone.Act1
SonicAndKnuckles3-Genesis,MarbleGardenZone.Act2
SonicAndKnuckles3-Genesis,MushroomHillZone.Act2
SonicAndKnuckles3-Genesis,MushroomHillZone.Act1
SonicAndKnuckles3-Genesis,DeathEggZone.Act1
SonicAndKnuckles3-Genesis,DeathEggZone.Act2
SonicAndKnuckles3-Genesis,FlyingBatteryZone.Act1
SonicAndKnuckles3-Genesis,SandopolisZone.Act1
SonicAndKnuckles3-Genesis,SandopolisZone.Act2
SonicAndKnuckles3-Genesis,HiddenPalaceZone
SonicAndKnuckles3-Genesis,HydrocityZone.Act2
SonicAndKnuckles3-Genesis,IcecapZone.Act1
SonicAndKnuckles3-Genesis,IcecapZone.Act2
SonicAndKnuckles3-Genesis,AngelIslandZone.Act1
SonicAndKnuckles3-Genesis,LaunchBaseZone.Act2
SonicAndKnuckles3-Genesis,LaunchBaseZone.Act1
